,label
0,2
1,6
2,6
3,2
4,2
5,6
6,2
7,9
8,6
9,9
10,4
11,9
12,9
13,3
14,9
15,3
16,7
17,5
18,7
19,5
20,9
21,3
22,6
23,2
24,6
25,2
26,6
27,2
28,2
29,6
30,6
31,2
32,9
33,6
34,7
35,5
36,2
37,6
38,3
39,4
40,6
41,2
42,2
43,6
44,4
45,9
46,6
47,3
48,4
49,9
50,4
51,9
52,4
53,9
54,4
55,9
56,2
57,6
58,6
59,2
60,4
61,9
62,5
63,1
64,4
65,9
66,2
67,6
68,3
69,9
70,3
71,9
72,3
73,9
74,2
75,6
76,4
77,9
78,6
79,2
80,1
81,9
82,1
83,4
84,2
85,6
86,2
87,6
88,3
89,9
90,2
91,6
92,3
93,9
94,2
95,6
96,6
97,2
98,6
99,2
100,7
101,5
102,3
103,1
104,7
105,5
106,6
107,2
108,4
109,9
110,7
111,5
112,6
113,2
114,4
115,9
116,6
117,9
118,9
119,4
120,7
121,5
122,2
123,6
124,7
125,5
126,2
127,6
128,5
129,9
130,4
131,5
132,3
133,9
134,4
135,9
136,3
137,9
138,3
139,9
140,1
141,6
142,6
143,2
144,7
145,5
146,6
147,2
148,2
149,6
150,7
151,5
152,4
153,9
154,2
155,6
156,6
157,2
158,6
159,2
160,7
161,5
162,3
163,9
164,4
165,9
166,2
167,5
168,3
169,9
170,6
171,2
172,7
173,5
174,4
175,9
176,7
177,5
178,4
179,9
180,7
181,5
182,4
183,9
184,9
185,6
186,2
187,6
188,9
189,9
190,9
191,5
192,7
193,1
194,7
195,5
196,7
197,5
198,4
199,9
200,6
201,2
202,7
203,1
204,2
205,6
206,7
207,5
208,2
209,6
210,3
211,4
212,7
213,1
214,7
215,1
216,7
217,1
218,7
219,5
220,4
221,9
222,7
223,1
224,6
225,2
226,7
227,1
228,7
229,5
230,6
231,2
232,7
233,5
234,7
235,5
236,1
237,4
238,6
239,2
240,7
241,5
242,9
243,4
244,4
245,9
246,2
247,6
248,3
249,5
250,7
251,5
252,6
253,2
254,2
255,6
256,7
257,1
258,4
259,9
260,6
261,2
262,7
263,1
264,6
265,2
266,4
267,9
268,4
269,9
270,9
271,2
272,6
273,2
274,2
275,5
276,6
277,2
278,2
279,1
280,4
281,9
282,2
283,6
284,7
285,1
286,2
287,6
288,6
289,2
290,2
291,6
292,2
293,6
294,4
295,9
296,2
297,6
298,4
299,9
300,9
301,1
302,7
303,9
304,2
305,9
306,6
307,2
308,4
309,9
310,2
311,6
312,7
313,5
314,2
315,6
316,7
317,9
318,6
319,2
320,2
321,6
322,4
323,9
324,7
325,9
326,6
327,2
328,3
329,2
330,9
331,6
332,2
333,6
334,7
335,5
336,7
337,5
338,2
339,6
340,9
341,5
342,4
343,9
344,7
345,9
346,7
347,5
348,2
349,6
350,4
351,9
352,6
353,2
354,7
355,5
356,2
357,6
358,2
359,3
360,7
361,9
362,7
363,9
364,6
365,2
366,6
367,2
368,2
369,6
370,2
371,6
372,9
373,4
374,7
375,9
376,4
377,9
378,4
379,7
380,7
381,9
382,6
383,2
384,2
385,6
386,7
387,5
388,7
389,9
390,4
391,9
392,1
393,5
394,7
395,5
396,7
397,5
398,7
399,5
400,5
401,9
402,7
403,9
404,6
405,2
406,6
407,2
408,4
409,9
410,7
411,5
412,6
413,2
414,4
415,9
416,4
417,9
418,4
419,9
420,9
421,1
422,7
423,9
424,2
425,9
426,6
427,2
428,4
429,9
430,2
431,6
432,7
433,5
434,2
435,6
436,7
437,9
438,6
439,2
440,2
441,6
442,4
443,9
444,7
445,9
446,6
447,2
448,3
449,2
450,9
451,6
452,2
453,6
454,7
455,5
456,7
457,5
458,2
459,6
460,9
461,5
462,4
463,9
464,7
465,9
466,7
467,5
468,2
469,6
470,4
471,9
472,6
473,2
474,7
475,5
476,2
477,6
478,2
479,3
480,7
481,9
482,7
483,9
484,6
485,2
486,6
487,2
488,2
489,6
490,2
491,6
492,9
493,4
494,7
495,9
496,4
497,9
498,4
499,7
500,7
501,9
502,6
503,2
504,2
505,6
506,7
507,5
508,7
509,9
510,4
511,9
512,1
513,5
514,7
515,5
516,7
517,5
518,7
519,5
520,5
521,9
522,7
523,9
524,6
525,2
526,6
527,2
528,4
529,9
530,7
531,5
532,6
533,2
534,4
535,9
536,4
537,9
538,4
539,9
540,6
541,4
542,6
543,2
544,7
545,5
546,4
547,9
548,6
549,2
550,4
551,9
552,7
553,5
554,3
555,9
556,3
557,9
558,3
559,9
560,6
561,2
562,7
563,5
564,2
565,6
566,4
567,9
568,4
569,9
570,2
571,6
572,2
573,6
574,5
575,9
576,2
577,6
578,3
579,9
580,2
581,6
582,7
583,5
584,3
585,9
586,2
587,6
588,6
589,2
590,2
591,5
592,4
593,9
594,7
595,5
596,6
597,2
598,4
599,9
600,2
601,6
602,4
603,9
604,7
605,5
606,1
607,9
608,3
609,7
610,6
611,2
612,5
613,6
614,5
615,1
616,3
617,9
618,7
619,5
620,2
621,6
622,7
623,5
624,6
625,2
626,7
627,5
628,6
629,2
630,7
631,5
632,4
633,9
634,3
635,9
636,3
637,9
638,6
639,5
640,4
641,9
642,9
643,5
644,2
645,6
646,2
647,6
648,6
649,2
650,3
651,9
652,5
653,2
654,4
655,9
656,3
657,9
658,6
659,2
660,7
661,5
662,9
663,4
664,6
665,7
666,6
667,2
668,6
669,2
670,2
671,6
672,2
673,6
674,6
675,4
676,2
677,6
678,7
679,5
680,7
681,5
682,4
683,9
684,9
685,3
686,4
687,9
688,9
689,5
690,2
691,6
692,6
693,2
694,7
695,1
696,2
697,6
698,6
699,2
700,4
701,1
702,7
703,5
704,9
705,9
706,2
707,6
708,7
709,1
710,4
711,9
712,7
713,5
714,4
715,9
716,6
717,2
718,2
719,6
720,2
721,6
722,7
723,1
724,2
725,6
726,4
727,9
728,7
729,5
730,6
731,2
732,7
733,3
734,6
735,2
736,4
737,9
738,6
739,2
740,2
741,6
742,7
743,1
744,7
745,1
746,7
747,5
748,4
749,9
750,4
751,9
752,7
753,1
754,2
755,4
756,7
757,1
758,6
759,2
760,7
761,5
762,2
763,6
764,1
765,3
766,2
767,9
768,2
769,6
770,4
771,9
772,7
773,5
774,4
775,9
776,6
777,5
778,4
779,9
780,2
781,6
782,2
783,6
784,4
785,9
786,4
787,9
788,6
789,2
790,7
791,5
792,6
793,2
794,5
795,3
796,3
797,1
798,6
799,2
800,7
801,5
802,1
803,3
804,1
805,3
806,6
807,2
808,4
809,9
810,6
811,2
812,1
813,3
814,2
815,6
816,3
817,7
818,7
819,5
820,4
821,9
822,1
823,9
824,2
825,6
826,4
827,9
828,5
829,2
830,1
831,3
832,1
833,3
834,6
835,2
836,7
837,5
838,4
839,9
840,7
841,5
842,2
843,6
844,6
845,9
846,6
847,2
848,2
849,6
850,4
851,9
852,1
853,3
854,2
855,6
856,2
857,6
858,1
859,3
860,6
861,2
862,9
863,2
864,7
865,5
866,1
867,3
868,6
869,2
870,4
871,9
872,7
873,5
874,7
875,5
876,1
877,3
878,6
879,2
